"LG_ID","NAME","CM_FUND_TYPE_ID","GO_DEBT","REVENUE_DEBT","OTHER_DEBT","debt","housingunits","mhv","s4metric"
56002,"Silverton",2,21400,0,130814.2,152214.2,503,223100,0.00135639947852107
56002,"Silverton",3,0,0,26112.4,26112.4,503,223100,0.000232690811651828
57007,"Norwood",2,0,146522.4,728865,875387.4,253.4,168800,0.0204654471696772
57008,"Ophir",2,0,0,437500,437500,73.2,442300,0.0135129458654401
57014,"Telluride",2,9207000,0,2123375,11330375,2097,612500,0.00882144560256148
57014,"Telluride",3,19200,0,0,19200,2097,612500,1.49484686578494e-05
57017,"Sawpit",2,0,0,0,0,23,NA,NA
57027,"Mountain Village",1,0,0,0,0,2074.8,NA,NA
58004,"Julesburg",2,0,0,1003548.6,1003548.6,730.2,86400,0.0159068006482242
58004,"Julesburg",3,0,0,479321.4,479321.4,730.2,86400,0.00759750943424937
58007,"Ovid",2,0,0,77585.2,77585.2,176,51600,0.00854312015503876
58007,"Ovid",3,0,0,162.8,162.8,176,51600,1.79263565891473e-05
58012,"Sedgwick",1,0,0,328216.6,328216.6,110,52900,0.0564042962708369
59004,"Breckenridge",2,0,0,491000.6,491000.6,7077.6,395700,0.000175319392980589
59009,"Dillon",2,0,0,1587440.4,1587440.4,1290.8,471700,0.00260718948447417
59009,"Dillon",3,0,0,672236.2,672236.2,1290.8,471700,0.00110407115235499
59015,"Frisco",2,0,0,0,0,3154.8,473100,0
59018,"Silverthorne",2,0,0,0,0,2105.4,473500,0
59018,"Silverthorne",3,0,0,0,0,2105.4,473500,0
60001,"Cripple Creek",1,0,820660,550689.8,1371349.8,728.4,96500,0.0195097182269037
60012,"Victor",1,0,0,1224895,1224895,339.6,87700,0.0411274314271401
60015,"Woodland Park",2,0,825000,1105331.4,1930331.4,3225.6,255500,0.00234223496761718
60015,"Woodland Park",3,0,316000,619130.8,935130.8,3225.6,255500,0.00113467358975554
61002,"Akron",2,0,0,244736,244736,844.4,95700,0.00302857055172513
61002,"Akron",3,0,0,1719585.8,1719585.8,844.4,95700,0.0212796111526081
61006,"Otis",2,0,40600,0,40600,248,105100,0.00155765630275314
62003,"Ault",2,0,0,0,0,616.8,151100,0
62003,"Ault",3,0,0,1007890,1007890,616.8,151100,0.0108144467592175
62007,"Dacono",2,236000,0,2170622.4,2406622.4,1583.8,171000,0.00888610632951027
62008,"Eaton",2,0,0,1696192.8,1696192.8,1729,223300,0.00439330646019783
62008,"Eaton",3,0,0,3826081,3826081,1729,223300,0.00990992673388318
62011,"Evans",2,0,0,581842.2,581842.2,6847.6,149400,0.000568743224548407
62011,"Evans",3,0,0,576624.8,576624.8,6847.6,149400,0.000563643283533886
62012,"Firestone",2,0,0,18944.6,18944.6,3657.4,246000,2.10560969830183e-05
62014,"Fort Lupton",1,0,11912360,4220708.6,16133068.6,2552.6,150200,0.0420788907641544
62016,"Frederick",2,0,0,445363.2,445363.2,3319.2,243000,0.000552172321755354
62020,"Gilcrest",2,161100,65400,81946.6,308446.6,346,133800,0.00666266189723252
62020,"Gilcrest",3,0,0,64615,64615,346,133800,0.00139572910996483
62022,"Greeley",2,150000,80486000,6601989.2,87237989.2,36553.4,173200,0.013779389616717
62022,"Greeley",3,0,0,2123146,2123146,36553.4,173200,0.000335354542389823
62023,"Grover",2,0,0,11625.8,11625.8,90,103100,0.00125291518482595
62023,"Grover",3,0,0,174525.8,174525.8,90,103100,0.0188086862808492
62029,"Hudson",2,538600,0,906137,1444737,561.2,160200,0.0160697315276788
62029,"Hudson",3,0,0,3479555.2,3479555.2,561.2,160200,0.0387029043346565
